title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
SPRITE: From Static Mockups to Engine-Ready GameUI,"Y Bai, RH Li, H Zhang, CH Lim, M Yan…",2026.0,0,,s5CZ_9NZ9SsJ,"Y Bai, RH Li, H Zhang, CH Lim, M Yan… - Proceedings of the …, 2026 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3772363.3798742,unknown,unknown
AI-Driven Game Engine Development using Gemini 3.0 Pro Can Prompting Lead to a Fully Functional Game Engine?,M Mohsen,,0,"… pipeline and hardware abstraction required for both 2D and 3D … As with the previous game, all sprite textures were generated … observed within the AI-assisted asset pipeline, particularly …",EuWXLP8Bw7EJ,M Mohsen - entertain.univie.ac.at,[],https://entertain.univie.ac.at/~hlavacs/theses/2026_Bachelor_Thesis_Mohsen_Malak.pdf,unknown,unknown
Research and Implementation of Key Technologies of Android Platform Games Based on Unity3D,"Y Chen, Z Shen, F Xiao",2024.0,0,"… state machine are used to control the AI of game characters. … rendering pipeline, converting it into a 2D rendering pipeline. … Sprite Editor to cut the Sprite image set into individual Sprite …",kEqxaSIAfegJ,"Y Chen, Z Shen, F Xiao - 2024 IEEE 4th International …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10594329/,unknown,unknown
"Unity 2020 By Example: A project-based guide to building 2D, 3D, augmented reality, and virtual reality games from scratch",R Wells,2020.0,15,"… on AI and game engine development on his website. … is a game engine that works with your existing asset pipeline (… In the world of 2D, a new tool called Sprite Shape will help us create …",XjIBEKj8NA0J,R Wells - 2020 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=dlkAEAAAQBAJ&oi=fnd&pg=PP1&dq=AI+generated+game+assets+2D+sprite+pipeline+Android&ots=B5ZWr9uPbK&sig=cdrMzfwM79bn8oHDTdIqWRM5vlg,unknown,unknown
Game programming algorithms and techniques: a platform-agnostic approach,S Madhav,2013.0,46,"… Because the ghosts are fully AI controlled, they also must … There are numerous steps in the rendering pipeline, and the … A sprite is a 2D visual object within the game world that can be …",3g9RSGjf0JkJ,S Madhav - 2013 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=RFF0AgAAQBAJ&oi=fnd&pg=PR7&dq=AI+generated+game+assets+2D+sprite+pipeline+Android&ots=f-FD2TMyO8&sig=iSWfsJBrYQIMUM7mZ_pm_uz8H8k,unknown,unknown
"Game Engine Architecture: Volume I, Foundations and Core Engine Systems",J Gregory,2026.0,1,"… various game systems such as artificial intelligence, game logic… asset creation tool called FrostEd, a powerful tools pipeline … games on mobile platforms (eg, Apple iOS, Google Android), …",HfsxC30BTzwJ,J Gregory - 2026 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=TEjFEQAAQBAJ&oi=fnd&pg=PA1989&dq=AI+generated+game+assets+2D+sprite+pipeline+Android&ots=esHPIoXIzw&sig=BWaPtXeJLU8XmM8IElFy0sDfL0A,unknown,unknown
Game engine architecture,J Gregory,2018.0,1283,"… it brings to mind images of twodimensional classics like Pong, … , various game systems such as artificial intelligence, game … asset creation tool called FrostEd, a powerful tools pipeline …",5gW1a_f2V50J,J Gregory - 2018 - taylorfrancis.com,[],https://www.taylorfrancis.com/books/mono/10.1201/9781315267845/game-engine-architecture-jason-gregory,unknown,unknown
"Learn 2D game development with C#: For iOS, android, windows phone, PlayStation Mobile and more","K Sung, JKW Chang, R Zhu, J Pavleas",2014.0,4,… The examples in this book were created with the assumption … this conversion is referred to as Content pipeline processing … creating sprite sheets to properly sizing images. In this book …,LEVu-mP3e8AJ,"K Sung, JKW Chang, R Zhu, J Pavleas - 2014 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=MKAQAwAAQBAJ&oi=fnd&pg=PR20&dq=AI+generated+game+assets+2D+sprite+pipeline+Android&ots=gxO0AwTgke&sig=rYbYWt3YaZBwmq8Beh4EztySbAE,unknown,unknown
Design methodologies to implement computer games (Super Milkman),NM Cardoso,2019.0,0,"… the camera and sometimes the artificial intelligence, are connected … In the same scene, there are pipes indicating that the player … but adding shape to the sprites, using sprite shapes [40], …",2-jk5JnurxMJ,NM Cardoso - 2019 - repositorio.ipl.pt,[],https://repositorio.ipl.pt/bitstreams/2a3c9379-693b-4657-82f7-149b6f48073f/download,unknown,unknown
17 Design of 2D Space and Development Shooter Game and Arcade Game Using Unity,"JS Rathore, A Mukherjee, N Sradha…",2024.0,0,"… with primary AI behaviour • Collecting and destroying game objects (… OS, the Unity Web Player, Android, iOS, Blackberry 10, … for generating visuals, object movement, loading assets and …",HqxLiDv757kJ,"JS Rathore, A Mukherjee, N Sradha… - … and Optimization for …, 2024 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=Z8kgEQAAQBAJ&oi=fnd&pg=PA276&dq=AI+generated+game+assets+2D+sprite+pipeline+Android&ots=uca35gRMpl&sig=PfOe25Akw13BI2PJEj-AZe5W9gc,unknown,unknown
